est_tax,num_units,tax_rate,pct_diff
25027083.3837918,2,0.25,4.870901329105014
24917049.101396397,3,0.25,5.311245812938446
24743389.6091109,4,0.25,6.010075353026603
24717833.865857698,5,0.25,6.113316912995715
24670496.1996201,6,0.25,6.304827953342014
24651485.1964977,7,0.25,6.381839781438872
24567862.382606998,8,0.25,6.721271914966065
24557099.899752,9,0.25,6.765038864366517
24524414.55093,10,0.25,6.898071502224193
24514469.9208924,11,0.25,6.938581112879079
24448316.8458756,12,0.25,7.20846099824565
24443051.6187399,13,0.25,7.2299714084023785
24414205.288301103,14,0.25,7.347898695604341
24406107.298974298,15,0.25,7.381028387026034
24319751.4376557,16,0.25,7.734978456362053
24312951.6578421,17,0.25,7.762900294609404
24296302.1687751,18,0.25,7.831299552774645
24290022.535683002,19,0.25,7.8571091741801835
24243071.743550703,20,0.25,8.050282717302986
25235329.1973721,2,0.275,4.042674882206776
25143633.9620426,3,0.275,4.406534686695131
24998917.71847135,4,0.275,4.983437100446547
24977621.265760347,5,0.275,5.068609082803711
24938173.21056235,6,0.275,5.226562811689161
24922330.707960352,7,0.275,5.290066188823821
24852645.0297181,8,0.275,5.56986279383304
24843676.2940056,9,0.275,5.605928781905048
24816438.5033206,10,0.275,5.715537761725126
24808151.3116226,11,0.275,5.7489098629039015
24753023.7491086,12,0.275,5.971181640232153
24748636.05982885,13,0.275,5.988893234623391
24724597.45112985,14,0.275,6.085982924675548
24717849.12669085,15,0.275,6.113255230526978
24645885.908925347,16,0.275,6.404532943351812
24640219.42574735,17,0.275,6.427503521358208
24626344.85152485,18,0.275,6.483769344008854
24621111.8239481,19,0.275,6.504998906329368
24581986.16383785,20,0.275,6.663863940493653
25443575.010952402,2,0.3,3.2211179730431714
25370218.8226888,3,0.3,3.5097618619692996
25254445.827831797,4,0.3,3.966980482643292
25237408.665662996,5,0.3,4.034438275754475
25205850.2215046,6,0.3,4.159510307463502
25193176.219423,7,0.3,4.209782920767625
25137427.676829197,8,0.3,4.431209008876213
25130252.6882592,9,0.3,4.4597420293219905
25108462.4557112,10,0.3,4.54644483225972
25101832.7023528,11,0.3,4.5728390508024965
25057730.6523416,12,0.3,4.748590615087933
25054220.5009178,13,0.3,4.762591933091356
25034989.6139586,14,0.3,4.83933423422415
25029590.9544074,15,0.3,4.860888333392457
24972020.380195,16,0.3,5.091020744607319
24967487.1936526,17,0.3,5.109163649736688
24956387.5342746,18,0.3,5.153600716867786
24952201.1122132,19,0.3,5.170365900535184
24920900.584125,20,0.3,5.295800657358307
25651820.824532703,2,0.325,2.406150362061026
25596803.683335,3,0.325,2.6208233143324735
25509973.937192246,4,0.325,2.9605547831791412
25497196.06556565,5,0.325,3.0106458756216607
25473527.23244685,6,0.325,3.10349644876287
25464021.73088565,7,0.325,3.140809532665714
25422210.3239403,8,0.325,3.3050997718020967
25416829.0825128,9,0.325,3.3262636746036964
25400486.4081018,10,0.325,3.390564854120469
25395514.093082998,11,0.325,3.410136779807776
25362437.5555746,12,0.325,3.5404279078949226
25359804.942006752,13,0.325,3.550805154835511
25345381.77678735,14,0.325,3.607677230757066
25341332.78212395,15,0.325,3.6236485612745826
25298154.851464648,16,0.325,3.7941206249440813
25294754.96155785,17,0.325,3.807555954208043
25286430.21702435,18,0.325,3.8404602890275545
25283290.4004783,19,0.325,3.8528734684012718
25259815.004412152,20,0.325,3.945730738718893
25860066.638113,2,0.35,1.5976930916889773
25823388.5439812,3,0.35,1.7396168289826492
25765502.0465527,4,0.35,1.9640122457056788
25756983.4654683,5,0.35,1.9970764338662441
25741204.2433891,6,0.35,2.0583508250488345
25734867.2423483,7,0.35,2.082969338519366
25706992.9710514,8,0.35,2.1913289133821316
25703405.476766396,9,0.35,2.2052835255968217
25692510.3604924,10,0.35,2.247675089145746
25689195.4838132,11,0.35,2.2605763953562303
25667144.4588076,12,0.35,2.3464396048280807
25665389.3830957,13,0.35,2.3532767246824173
25655773.9396161,14,0.35,2.3907431047321683
25653074.609840497,15,0.35,2.401263482576598
25624289.322734296,16,0.35,2.513519423486319
25622022.7294631,17,0.35,2.5223638999951854
25616472.8997741,18,0.35,2.5440231594877325
25614379.6887434,19,0.35,2.552193514470627
25598729.424699303,20,0.35,2.6133015189246542
26068312.4516933,2,0.375,0.795668460836605
26049973.404627398,3,0.375,0.8660419615639771
26021030.155913148,4,0.375,0.9772080016482498
26016770.865370948,5,0.375,0.9935775909528556
26008881.25433135,6,0.375,1.0239065154721796
26005712.75381095,7,0.375,1.0360893135793
25991775.618162498,8,0.375,1.0896947576182485
25989981.871019997,9,0.375,1.0965960000654684
25984534.312883,10,0.375,1.1175577776292274
25982876.8745434,11,0.375,1.1239363377903921
25971851.3620406,12,0.375,1.1663777152508994
25970973.82418465,13,0.375,1.1697564607098774
25966166.10244485,14,0.375,1.1882694349705345
25964816.43755705,15,0.375,1.193467168465076
25950423.79400395,16,0.375,1.2489118015645249
25949290.49736835,17,0.375,1.2532788864480857
25946515.58252385,18,0.375,1.2639726405674674
25945468.9770085,19,0.375,1.2680062638281946
25937643.844986454,20,0.375,1.2981694887205821
26276558.2652736,2,0.4,0.0
26276558.265273597,3,0.4,1.417723836148343e-14
26276558.265273597,4,0.4,1.417723836148343e-14
26276558.265273597,5,0.4,1.417723836148343e-14
26276558.2652736,6,0.4,0.0
26276558.2652736,7,0.4,0.0
26276558.265273597,8,0.4,1.417723836148343e-14
26276558.265273597,9,0.4,1.417723836148343e-14
26276558.2652736,10,0.4,0.0
26276558.2652736,11,0.4,0.0
26276558.2652736,12,0.4,0.0
26276558.2652736,13,0.4,0.0
26276558.2652736,14,0.4,0.0
26276558.2652736,15,0.4,0.0
26276558.265273597,16,0.4,1.417723836148343e-14
26276558.2652736,17,0.4,0.0
26276558.2652736,18,0.4,0.0
26276558.2652736,19,0.4,0.0
26276558.2652736,20,0.4,0.0
